,star_names,distance,mass,radius
0,33.78±0.09[1],9.06 ± 0.03[3],1.14[4],1.91 ± 0.09 [3]
1,36.7±0.2[1],25.4 ± 0.2 [6],-0.05[4],1.08 ± 0.06 [6]
2,38.69[7][a],1.91[9],2.91[8],2[9]
3,42.919±0.049[10],11.98 ± 0.57[10],0.03[12],2.5687[10]
4,G1III[14],2.4828[10],The nearest yellow giant.,0.16[12]
5,44.96[15][b],4.93 ± 0.04[3],3.21[17],1.294 ± 0.081[16]
6,54.7±0.3[1],3.69 × 3.43[19],2.28 (2.25–2.31)[20],1.91 ± 0.02[19]
7,58.8±0.2[1],10.6[c],2.06[24],1.27[23]
8,60.5±0.2[1],5.897 ± 0.028[26],3.26[28],2[27]
9,63.3±0.3[1],3.22[30],3.42[24],1.7[30]
10,63.5±0.2[1],3.41[32],2.78[34] (2.68 – 2.87)[35],1.85[33]
11,63.7±0.3[1],12.6[d],2.31[38] (2.24 – 2.35)[39],1.24[37]
12,64.4±0.3[40],4.9 ± 0.1[42],3.96[43],1.3 ± 0.1[42]
13,65.3±1[44],45.1 ± 0.1[46],0.86 (0.75 – 0.95)[48],1.16 ± 0.07[47]
14,65.8±0.3[1],14.9 ± 0.3[50],2.00[24],1.5 ± 0.2[51]
15,69.1[1],5.81 ± 0.12[53],3.73[54],1.61[53]
16,73.92±0.3[55][e],13.48[56],2.623[14],1.66[56]
17,75.5[57][f],10.82 ± 0.14[50],2.48[59],~2[58]
18,78.2±0.3[1],12.692 ± 0.181[61],2.82[62],2.6[27]
19,81.8±0.3[1],12.42 ± 0.13[64],2.749[59],1.13[65]
20,82.51[66][g],4.14[67],1.77[24],2.91[68]
21,85[1],15[h],2.377[14],1.57[70]
22,86.8±0.3[1],5.16+0.71−0.96[40],3.03[74] (3.02 – 3.07),2.1[73]
23,87.2±0.3[1],11.5[i],3.105[14],1.1 ± 0.2[76]
24,88.6±0.4[1],120[78],1.64[4],1.5 ± 0.3[79]
25,90±0.9[1],2.4[82],2.796[28],2[82]
26,91.5±0.5[1],11[84],3.20[85],1.19 ± 0.14[76]
27,92.1±0.2[1],11[j],2.73[87],2.55[87]
28,94.6±0.5[1],1.99[89],4.63[91],1.62[90]
29,94.9±0.6[1],8.22 ± 0.22[50],3.83[50] (3.79 – 3.84)[94],1.69[93]
30,96.3±0.5[1],16.78 ± 0.25[64],2.02[24],2.8[96]
31,96.82[97][k],12[98],2.98[62],
32,97.4±0.3[1],11[l],3.07[24],2.32[87]
33,98.3±0.5[1],12[98],3.11[24],2[102]
